sku_id,sku_name,current_stock,predicted_stockout_days,avg_lead_time,traceability_coverage,last_batch,origin,latest_location,flag_status,forecast_7d,forecast_30d,forecast_90d
SKU-000155,Ticagrelor 90mg,170,5,6.8,96%,BATCH-XY-2025-10G,Factory C,Warehouse T,LOW_STOCK,190,570,1710
SKU-000156,Prasugrel 10mg,150,4,7.0,94%,BATCH-XY-2025-10H,Factory B,Warehouse S,LOW_STOCK,170,510,1530
SKU-000157,Apixaban 5mg,210,6,6.6,97%,BATCH-XY-2025-10I,Factory A,Warehouse R,OK,230,690,2070
SKU-000158,Rivaroxaban 20mg,180,5,6.9,96%,BATCH-XY-2025-10J,Factory D,Warehouse Q,OK,200,600,1800
SKU-000159,Dabigatran 150mg,160,4,7.1,95%,BATCH-XY-2025-10K,Factory C,Warehouse P,LOW_STOCK,180,540,1620
SKU-000160,Edoxaban 60mg,140,3,7.3,93%,BATCH-XY-2025-10L,Factory B,Warehouse O,LOW_STOCK,160,480,1440
SKU-000161,Carvedilol 25mg,230,8,6.2,98%,BATCH-XY-2025-10M,Factory A,Warehouse N,OK,250,750,2250
SKU-000162,Bisoprolol 5mg,200,6,6.5,97%,BATCH-XY-2025-10N,Factory D,Warehouse M,OK,220,660,1980
SKU-000163,Propranolol 40mg,170,4,6.8,95%,BATCH-XY-2025-10O,Factory C,Warehouse L,LOW_STOCK,190,570,1710
SKU-000164,Atenolol 50mg,190,5,6.7,96%,BATCH-XY-2025-10P,Factory B,Warehouse K,OK,210,630,1890
SKU-000165,Nebivolol 5mg,160,4,7.0,94%,BATCH-XY-2025-10Q,Factory A,Warehouse J,LOW_STOCK,180,540,1620
SKU-000166,Labetalol 100mg,140,3,7.2,92%,BATCH-XY-2025-10R,Factory D,Warehouse I,LOW_STOCK,160,480,1440
SKU-000167,Verapamil 120mg,220,7,6.4,97%,BATCH-XY-2025-10S,Factory C,Warehouse H,OK,240,720,2160
SKU-000168,Diltiazem 120mg,200,6,6.6,96%,BATCH-XY-2025-10T,Factory B,Warehouse G,OK,220,660,1980
SKU-000169,Nifedipine 30mg,180,5,6.9,95%,BATCH-XY-2025-10U,Factory A,Warehouse F,OK,200,600,1800
SKU-000170,Felodipine 5mg,160,4,7.1,94%,BATCH-XY-2025-10V,Factory D,Warehouse E,LOW_STOCK,180,540,1620
SKU-000171,Amlodipine 10mg,250,9,6.3,98%,BATCH-XY-2025-10W,Factory C,Warehouse D,OK,270,810,2430
SKU-000172,Isradipine 5mg,130,2,7.4,91%,BATCH-XY-2025-10X,Factory B,Warehouse C,LOW_STOCK,150,450,1350
SKU-000173,Nicardipine 30mg,170,4,6.8,95%,BATCH-XY-2025-10Y,Factory A,Warehouse B,LOW_STOCK,190,570,1710
SKU-000174,Isosorbide 20mg,190,5,6.7,96%,BATCH-XY-2025-10Z,Factory D,Warehouse A,OK,210,630,1890
SKU-000175,Isosorbide 40mg,180,5,6.9,95%,BATCH-XY-2025-11A,Factory C,Warehouse Z,OK,200,600,1800
SKU-000176,Hydralazine 25mg,150,3,7.0,93%,BATCH-XY-2025-11B,Factory B,Warehouse Y,LOW_STOCK,170,510,1530
SKU-000177,Minoxidil 2.5mg,160,4,7.2,94%,BATCH-XY-2025-11C,Factory A,Warehouse X,LOW_STOCK,180,540,1620
SKU-000178,Clonidine 0.1mg,140,3,7.3,92%,BATCH-XY-2025-11D,Factory D,Warehouse W,LOW_STOCK,160,480,1440
SKU-000179,Methyldopa 250mg,170,4,6.8,95%,BATCH-XY-2025-11E,Factory C,Warehouse V,LOW_STOCK,190,570,1710
SKU-000180,Guanfacine 1mg,130,2,7.5,91%,BATCH-XY-2025-11F,Factory B,Warehouse U,LOW_STOCK,150,450,1350
SKU-000181,Reserpine 0.25mg,120,2,7.6,90%,BATCH-XY-2025-11G,Factory A,Warehouse T,LOW_STOCK,140,420,1260
SKU-000182,Prazosin 1mg,150,3,7.1,93%,BATCH-XY-2025-11H,Factory D,Warehouse S,LOW_STOCK,170,510,1530
SKU-000183,Doxazosin 1mg,160,4,6.9,94%,BATCH-XY-2025-11I,Factory C,Warehouse R,LOW_STOCK,180,540,1620
SKU-000184,Terazosin 1mg,140,3,7.0,92%,BATCH-XY-2025-11J,Factory B,Warehouse Q,LOW_STOCK,160,480,1440
SKU-000185,Alfuzosin 10mg,170,4,6.8,95%,BATCH-XY-2025-11K,Factory A,Warehouse P,LOW_STOCK,190,570,1710
SKU-000186,Tamsulosin 0.4mg,200,6,6.5,96%,BATCH-XY-2025-11L,Factory D,Warehouse O,OK,220,660,1980
SKU-000187,Silodosin 8mg,180,5,6.7,95%,BATCH-XY-2025-11M,Factory C,Warehouse N,OK,200,600,1800
SKU-000188,Dutasteride 0.5mg,160,4,6.9,94%,BATCH-XY-2025-11N,Factory B,Warehouse M,LOW_STOCK,180,540,1620
SKU-000189,Finasteride 5mg,190,5,6.6,96%,BATCH-XY-2025-11O,Factory A,Warehouse L,OK,210,630,1890
SKU-000190,Avodart 0.5mg,170,4,6.8,95%,BATCH-XY-2025-11P,Factory D,Warehouse K,LOW_STOCK,190,570,1710
SKU-000191,Proscar 5mg,150,3,7.0,93%,BATCH-XY-2025-11Q,Factory C,Warehouse J,LOW_STOCK,170,510,1530
SKU-000192,Propecia 1mg,180,5,6.7,95%,BATCH-XY-2025-11R,Factory B,Warehouse I,OK,200,600,1800
SKU-000193,Minoxidil 5%,200,6,6.5,96%,BATCH-XY-2025-11S,Factory A,Warehouse H,OK,220,660,1980
SKU-000194,Minoxidil 2%,180,5,6.7,95%,BATCH-XY-2025-11T,Factory D,Warehouse G,OK,200,600,1800
SKU-000195,Finasteride 1mg,160,4,6.9,94%,BATCH-XY-2025-11U,Factory C,Warehouse F,LOW_STOCK,180,540,1620
SKU-000196,Dutasteride 0.5mg,140,3,7.1,92%,BATCH-XY-2025-11V,Factory B,Warehouse E,LOW_STOCK,160,480,1440
SKU-000197,Alfuzosin 10mg,170,4,6.8,95%,BATCH-XY-2025-11W,Factory A,Warehouse D,LOW_STOCK,190,570,1710
SKU-000198,Tamsulosin 0.4mg,200,6,6.5,96%,BATCH-XY-2025-11X,Factory D,Warehouse C,OK,220,660,1980
SKU-000199,Silodosin 8mg,180,5,6.7,95%,BATCH-XY-2025-11Y,Factory C,Warehouse B,OK,200,600,1800
SKU-000200,Dutasteride 0.5mg,160,4,6.9,94%,BATCH-XY-2025-11Z,Factory B,Warehouse A,LOW_STOCK,180,540,1620
SKU-000201,Finasteride 5mg,190,5,6.6,96%,BATCH-XY-2025-12A,Factory A,Warehouse Z,OK,210,630,1890
SKU-000202,Avodart 0.5mg,170,4,6.8,95%,BATCH-XY-2025-12B,Factory D,Warehouse Y,LOW_STOCK,190,570,1710
SKU-000203,Proscar 5mg,150,3,7.0,93%,BATCH-XY-2025-12C,Factory C,Warehouse X,LOW_STOCK,170,510,1530
SKU-000204,Propecia 1mg,180,5,6.7,95%,BATCH-XY-2025-12D,Factory B,Warehouse W,OK,200,600,1800
SKU-000205,Minoxidil 5%,200,6,6.5,96%,BATCH-XY-2025-12E,Factory A,Warehouse V,OK,220,660,1980
SKU-000206,Minoxidil 2%,180,5,6.7,95%,BATCH-XY-2025-12F,Factory D,Warehouse U,OK,200,600,1800
SKU-000207,Finasteride 1mg,160,4,6.9,94%,BATCH-XY-2025-12G,Factory C,Warehouse T,LOW_STOCK,180,540,1620
SKU-000208,Dutasteride 0.5mg,140,3,7.1,92%,BATCH-XY-2025-12H,Factory B,Warehouse S,LOW_STOCK,160,480,1440
SKU-000209,Alfuzosin 10mg,170,4,6.8,95%,BATCH-XY-2025-12I,Factory A,Warehouse R,LOW_STOCK,190,570,1710
SKU-000210,Tamsulosin 0.4mg,200,6,6.5,96%,BATCH-XY-2025-12J,Factory D,Warehouse Q,OK,220,660,1980
SKU-000211,Silodosin 8mg,180,5,6.7,95%,BATCH-XY-2025-12K,Factory C,Warehouse P,OK,200,600,1800
SKU-000212,Dutasteride 0.5mg,160,4,6.9,94%,BATCH-XY-2025-12L,Factory B,Warehouse O,LOW_STOCK,180,540,1620
SKU-000213,Finasteride 5mg,190,5,6.6,96%,BATCH-XY-2025-12M,Factory A,Warehouse N,OK,210,630,1890
SKU-000214,Avodart 0.5mg,170,4,6.8,95%,BATCH-XY-2025-12N,Factory D,Warehouse M,LOW_STOCK,190,570,1710
SKU-000215,Proscar 5mg,150,3,7.0,93%,BATCH-XY-2025-12O,Factory C,Warehouse L,LOW_STOCK,170,510,1530
SKU-000216,Propecia 1mg,180,5,6.7,95%,BATCH-XY-2025-12P,Factory B,Warehouse K,OK,200,600,1800
SKU-000217,Minoxidil 5%,200,6,6.5,96%,BATCH-XY-2025-12Q,Factory A,Warehouse J,OK,220,660,1980
SKU-000218,Minoxidil 2%,180,5,6.7,95%,BATCH-XY-2025-12R,Factory D,Warehouse I,OK,200,600,1800
SKU-000219,Finasteride 1mg,160,4,6.9,94%,BATCH-XY-2025-12S,Factory C,Warehouse H,LOW_STOCK,180,540,1620
SKU-000220,Dutasteride 0.5mg,140,3,7.1,92%,BATCH-XY-2025-12T,Factory B,Warehouse G,LOW_STOCK,160,480,1440
